Company ID,Country code,Country,Archive standard coding,ROE,ROA,Fixed assets ratio,Current ratio,Log total assets,Debt equity ratio,GDP pc (eur),GDP pc (PPS),GDP growth,Interest rate,Inflation rate,Public debt over GDP,Tourism intensity,ITE over GDP,Trips,Nights
99,9,Italy,IT,-0.0717813670635223,0.00817425828427076,0.0454839542508125,0.00902327615767717,5.29049682617188,3.6406774520874,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
910,9,Italy,IT,0.0235129706561565,0.0220479033887386,3.15548205375671,0.175376117229462,3.62739324569702,6.13119745254517,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
911,9,Italy,IT,0.00447000609710813,0.0158686563372612,0.207052409648895,0.839224398136139,4.49891662597656,2.79598593711853,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
912,9,Italy,IT,1.25213432312012,-0.217390671372414,6.42136669158936,0.482659578323364,3.52218985557556,-6.7598352432251,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
913,9,Italy,IT,0.000974425463937223,0.0141428587958217,2.94600176811218,0.446647137403488,4.00371932983398,10.8410406112671,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
914,9,Italy,IT,0.0992354154586792,0.115372627973557,0.775626182556152,0.422629952430725,4.3189492225647,0.502456963062286,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
915,9,Italy,IT,0.00653774524107575,0.00997224077582359,0.489851862192154,0.618514597415924,4.42237329483032,1.39869225025177,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
916,9,Italy,IT,-0.00709279626607895,-0.00350091047585011,0.0744265541434288,2.43230128288269,4.37202024459839,0.861886739730835,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
917,9,Italy,IT,0.225350707769394,0.133040606975555,1.02048540115356,1.41715490818024,3.87406826019287,1.20613253116608,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
918,9,Italy,IT,0.279767125844955,0.0594577267765999,3.11180400848389,1.08348047733307,3.70397138595581,4.43173599243164,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
919,9,Italy,IT,0.00703303096815944,0.0027231581043452,0.086710125207901,0.416196078062058,3.81928181648254,1.58555328845978,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
920,9,Italy,IT,0.203376427292824,0.0564370788633823,8.53858184814453,2.16635179519653,3.48101496696472,3.02381706237793,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
921,9,Italy,IT,0.356560587882996,0.248856276273727,1.78205585479736,5.27983093261719,4.05806970596314,0.434434086084366,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
922,9,Italy,IT,-1.43154060840607,-0.109012670814991,2.17811679840088,0.175446763634682,4.99231004714966,11.6985692977905,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
923,9,Italy,IT,0.00245168502442539,0.0195130277425051,0.210812702775002,0.392279028892517,4.51451683044434,1.3771630525589,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
924,9,Italy,IT,0.499004513025284,0.108414240181446,1.84752941131592,0.308524519205093,3.92834448814392,4.3019380569458,28690,29090,1.7,-0.32905,1.3,136.4,6942.28,2.38368502945934,53965837,273165167
